,title,company,salary,summary
62,Full stack web developer,MedicalVR,€30.000 - €40.000 per jaar,Be a part of the cutting edge in Medical technology MedicalVR develops VR software to support surgeons in planning and performing complex lung cancer surgeries.
63,Software Developer - Backend,Lytho,,Strong passion for developing new software that is scalable; preferably with experience in developing cloud-based products.
64,Frontend Web AR Developer,Capitola,,"✔ Basic knowledge of 3D software like Blender, 3DS Max, Maya, Cinema4D.Preferably you already have experience with AR and VR projects from a game design…"
65,nieuwJAVA DEVELOPER,Virgin Media,,Educates and trains developers as to their impact in the quality management system.Technical knowledge and implementation experience around CPE hardware…
66,Front-end (VueJS) Developer Zakelijk Bankieren,ABN AMRO Bank,,"Diversiteit en exclusiviteit zijn belangrijk bij ABN Amro.In this case, ABN AMRO will not be held liable to pay a placement fee."
67,Python Developer,VanMoof,,"Laptop, screens, and software tools.You’ll be a part of an existing Odoo team made up of four Developers and a Product Owner.Pension plan with Brand New Day."
68,Front-End Developer,Nixon Digital Services,,"During the 2-weekly sprints, you will work together with a colleague front-end developer.You are responsible for implementing all changes in the front-end area…"
69,Frontend Developer,Triple,,De focus ligt met name om het inzichtelijk maken welke websites ze nu eigenlijk (wereldwijd) hebben en hoe de status van hun applicaties is op het gebied van…
70,nieuwMedior backend developer,Audax,€40.000 - €57.000 per jaar,Je hebt veel invloed om het proces te beïnvloeden en krijgt alle ruimte om je competenties verder te ontwikkelen.Je hebt een passie voor Java;
71,Junior Software Developer,Jelling,€2.250 - €3.000 per maand,€2.250 - €3.000 | 32 - 40 | Haarlem | Wij zijn op zoek naar een talentvolle Developer met kennis van Java of C# | Reageer nu!Je hebt een afgerond HBO diploma;
72,Front-end Developer,ChipSoft,,Je komt terecht in een team met veel ervaring op het gebied van software development.Als Front-end Developer bij Zorgplatform ga je werken aan de interface…
73,Frontend Developer (React + Golang),Veepee,,"As a React Developer in vpTech you will be a part of the Stock Tribe, to build the new stock monitoring product.Improvement of the users' experience."
